1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
uniquecolumnheading,self-employed,num-employees,tech-employer,tech-role,mental-health-benefits,know-mental-health-options,discussed-mental-health,mental-health-resources,anonymity-protected,mental-health-leave-ease,comfort-discussing-health,discuss-mental-health-supervisor,discussed-mental-health-employer,mental-health-talk-employer,discuss-mental-health-coworkers,discussed-mental-health-coworkers,mental-health-talk-coworkers,coworker-mental-health-discussion,coworker-mental-health-talk,importance-physical-health,importance-mental-health,mental-health-coverage,know-mental-health-resources,reveal-mental-health-clients,effect-reveal-mental-health,reveal-mental-health-coworkers,impact-reveal-mental-health,productivity-mental-health,percentage-affected-mental-health,previous-employers,previous-tech-employer,previous-mental-health-benefits,aware-previous-mental-health-options,discussed-mental-health-previous,previous-mental-health-resources,previous-anonymity-protected,previous-comfort-discussing-health,previous-discuss-mental-health-supervisor,previous-discussed-mental-health,previous-mental-health-talk-employer,previous-discuss-mental-health-coworkers,previous-discussed-mental-health-coworkers,previous-mental-health-talk-coworkers,previous-coworker-mental-health-discussion,previous-coworker-mental-health-talk,previous-importance-physical-health,previous-importance-mental-health,current-mental-health-disorder,diagnosed-mental-health,anxiety-disorder,mood-disorder,psychotic-disorder,eating-disorder,adhd,personality-disorder,ocd,ptsd1,stress-response,dissociative-disorder,substance-use,addictive-disorder,other,anxiety-disorder1,mood-disorder1,psychotic-disorder1,eating-disorder1,adhd1,personality-disorder1,ocd1,ptsd1,stress-response1,dissociative-disorder1,substance-use1,addictive-disorder1,other1,anxiety-disorder2,mood-disorder2,psychotic-disorder2,eating-disorder2,adhd2,personality-disorder2,ocd2,ptsd2,stress-response2,dissociative-disorder2,substance-use2,addictive-disorder2,other2,past-mental-health-disorder,sought-treatment,family-history-mental-illness,mental-health-interference-treated,mental-health-interference-untreated,observations-mental-health-discussion,share-mental-illness,physical-health-interview,physical-health-reason,mental-health-interview,mental-health-reason,open-mental-health,mental-health-career,mental-health-career-effect,team-reaction,unsupportive-response,unsupportive-response-details,supportive-response,supportive-response-details,industry-support,improve-industry-support,additional-comments,interview-mental-health,age,gender,country-live,us-state-live,race,other,country-work,us-state-work,covid-19-diagnosis,start-date,submit-date,network-id,year,,,,,
eu6sxt9r6pyxxykpxcqs6r2qeu6sxt9r,0,26-100,1,1,I don't know,No,No,I don't know,I don't know,Very easy,Physical health,Maybe,0,nan,No,0,nan,0,nan,1,1,nan,nan,nan,nan,nan,nan,nan,nan,1,0,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Mental health,Some of my previous supervisors,0,nan,"Yes, at all of my previous employers",1,nan,1,nan,8,10,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,0,I don't know,Not applicable to me,Not applicable to me,No,2,Yes,physical health issues often are not stigmatized/held against you,No,"mental health issues are stigmatized and seen as a ""weakness""",0,nan,nan,4,No,nan,No,nan,2,nan,nan,1,28,Female,United States of America,Alaska,White,nan,United States of America,Alaska,nan,12/16/21 20:28,12/16/21 20:36,f3adc1b78a,2021,,,,,
mqgsjpmc31k0fuymqgv96vapalozx3q0,0,500-1000,1,1,Yes,No,Yes,Yes,Yes,I don't know,Physical health,No,0,nan,Maybe,0,nan,1,nan,9,9,nan,nan,nan,nan,nan,nan,nan,nan,1,1,Some did,I was aware of some,None did,Some did,I don't know,Physical health,"No, none of my previous supervisors",1,nan,"No, at none of my previous employers",0,nan,0,nan,7,8,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,Yes,10,Maybe,nan,No,nan,0,nan,nan,8,"Yes, I observed",nan,"Yes, I observed",nan,3,nan,nan,1,41,male,Brazil,nan,nan,nan,Brazil,nan,nan,12/16/21 13:42,12/16/21 18:44,49a51b7ac1,2021,,,,,
fkuijv5hpifz4fusbn1fkuib4ipqt19s,0,100-500,1,1,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Maybe,0,nan,Yes,1,Something about been stressed about deadlines,1,Same as my answer,5,5,nan,nan,nan,nan,nan,nan,nan,nan,1,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",0,nan,At some of my previous employers,0,nan,0,nan,5,3,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,nan,5,Maybe,if it doesn't affect my ability to do the job,Maybe,if it doesn't affect my chance of getting the job,0,nan,nan,8,No,nan,Maybe/Not sure,nan,3,discuss the topic openly,nan,0,35,Male,Brazil,nan,nan,nan,Brazil,nan,nan,12/16/21 13:01,12/16/21 13:14,f9e26fd31a,2021,,,,,
eb7i5ye61yizgs5veb7i5yyttqp5zwp2,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,"No, I don't know any","No, because it doesn't matter",I'm not sure,"No, because it doesn't matter",Not applicable to me,No,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,0,Yes,Sometimes,Sometimes,nan,1,No,uikjgiu,Maybe,kjhn,0,nan,nan,1,Maybe/Not sure,nan,"Yes, I observed",nan,2,lk,j,0,20,male,Italy,nan,nan,nan,Italy,nan,nan,12/16/21 8:57,12/16/21 8:59,73a0e1b4c5,2021,,,,,
0qoaw3bb3kzbb2oet0qoa3xc3yzdrvva,0,More than 1000,0,1,Yes,No,Yes,Yes,I don't know,Difficult,Physical health,No,0,nan,Maybe,0,nan,0,nan,10,10,nan,nan,nan,nan,nan,nan,nan,nan,1,0,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always",Physical health,Some of my previous supervisors,0,nan,At some of my previous employers,1,understandable,1,nan,8,8,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,1,No,Rarely,Often,Maybe,8,No,nan,No,nan,0,nan,nan,5,No,nan,Maybe/Not sure,nan,3,nan,nan,1,35,female,Canada,nan,nan,nan,Canada,nan,nan,12/8/21 14:35,12/8/21 14:44,bade27e84d,2021,,,,,
3fe3pwov77vne88p3fe3pwnp7mta7bzf,0,25-Jun,1,1,No,No,No,No,No,Difficult,Same level of comfort for each,No,0,nan,No,0,nan,0,nan,1,1,nan,nan,nan,nan,nan,nan,nan,nan,1,1,I don't know,N/A (none offered),None did,None did,No,Same level of comfort for each,"No, none of my previous supervisors",0,nan,"No, at none of my previous employers",0,nan,0,nan,1,1,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,Yes,5,No,Assumptions,No,Assumptions,0,nan,nan,1,Maybe/Not sure,nan,No,nan,1,Empathy Training,More folks need to talk about unrealistic expectations in the workplace.,0,30,Female,United States of America,New York,More than one of the above,nan,United States of America,New York,nan,12/8/21 3:35,12/8/21 4:16,94a550bf32,2021,,,,,
r7zjz1wog1lgudzir7zjb77n78uy3qqz,0,More than 1000,1,1,No,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Yes,1,nan,No,0,nan,0,nan,9,5,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,No,Sometimes,Often,No,8,No,nan,No,nan,0,nan,nan,8,Maybe/Not sure,nan,Maybe/Not sure,nan,5,nan,nan,0,34,female,United States of America,Maryland,Asian,nan,United States of America,Maryland,nan,12/4/21 21:28,12/4/21 21:33,b7ab754243,2021,,,,,
vip0llrbfeg6r89mjvip0ds5kn3zk81q,0,More than 1000,0,1,Yes,Yes,No,No,I don't know,Very easy,Physical health,Maybe,0,nan,No,0,nan,0,nan,6,6,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,0,I don't know,Not applicable to me,Sometimes,Maybe,4,No,Fear of it being a major disadvantage,No,Fear of it being a major disadvantage,0,nan,nan,4,Maybe/Not sure,nan,Maybe/Not sure,nan,3,nan,nan,0,23,female,Germany,nan,nan,nan,Germany,nan,nan,12/4/21 13:09,12/4/21 13:15,94a641c0dd,2021,,,,,
s80jtizbnp6d6qgy59j4s80jti85v2pv,0,More than 1000,1,1,No,No,Yes,No,No,Somewhat difficult,Same level of comfort for each,No,0,nan,Maybe,0,nan,1,nan,8,6,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Often,Maybe,4,No,It's not right to bring it up and it'll seem like seeking empathy.,No,It'll be like seeking empathy.,0,nan,nan,5,"Yes, I observed",nan,"Yes, I observed",nan,2,nan,nan,0,19,Female,India,nan,nan,nan,India,nan,nan,12/1/21 18:42,12/1/21 18:57,59a3ffde6d,2021,,,,,
