uniquecolumnheading,self-employed,num-employees,tech-employer,tech-role,has-mental-health-benefits,know-mental-health-options,discussed-mental-health,has-mental-health-resources,anonymity-protected,mental-health-leave-ease,comfort-discussing-health,discuss-mental-health-supervisor,discussed-mental-health-employer,mental-health-talk-employer,discuss-mental-health-coworkers,discussed-mental-health-coworkers,mental-health-talk-coworkers,coworker-mental-health-discussion,coworker-mental-health-talk,importance-physical-health,importance-mental-health,mental-health-coverage,know-mental-health-resources,reveal-mental-health-clients,effect-reveal-mental-health,reveal-mental-health-coworkers,impact-reveal-mental-health,productivity-mental-health,percentage-affected-mental-health,previous-employers,previous-tech-employer,previous-mental-health-benefits,aware-previous-mental-health-options,discussed-mental-health-previous,previous-mental-health-resources,previous-anonymity-protected,previous-comfort-discussing-health,previous-discuss-mental-health-supervisor,previous-discussed-mental-health,previous-mental-health-talk-employer,previous-discuss-mental-health-coworkers,previous-discussed-mental-health-coworkers,previous-mental-health-talk-coworkers,previous-coworker-mental-health-discussion,previous-coworker-mental-health-talk,previous-importance-physical-health,previous-importance-mental-health,current-mental-health-disorder,diagnosed-mental-health,anxiety-disorder,mood-disorder,psychotic-disorder,eating-disorder,adhd,personality-disorder,ocd,ptsd1,stress-response,dissociative-disorder,substance-use,addictive-disorder,other,anxiety-disorder1,mood-disorder1,psychotic-disorder1,eating-disorder1,adhd1,personality-disorder1,ocd1,post-traumatic-stress-disorder_1,stress-response1,dissociative-disorder1,substance-use1,addictive-disorder1,other1,anxiety-disorder2,mood-disorder2,psychotic-disorder2,eating-disorder2,adhd2,personality-disorder2,ocd2,ptsd2,stress-response2,dissociative-disorder2,substance-use2,addictive-disorder2,other2,past-mental-health-disorder,sought-treatment,family-history-mental-illness,mental-health-interference-treated,mental-health-interference-untreated,observations-mental-health-discussion,share-mental-illness,physical-health-interview,physical-health-reason,mental-health-interview,mental-health-reason,open-mental-health,mental-health-career,mental-health-career-effect,team-reaction,unsupportive-response,unsupportive-response-details,supportive-response,supportive-response-details,industry-support,improve-industry-support,additional-comments,interview-mental-health,age,gender,country-live,us-state-live,race,other3,country-work,us-state-work,year,covid-19-diagnosis,start-date,submit-date,network-id
zwrffw6ykfo82ft1twvzwrffw6c6wsfv,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,"No, I don't know any","No, because it doesn't matter",nan,"No, because it doesn't matter",I'm not sure,Yes,1-25%,1,1.0,I don't know,N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,nan,At some of my previous employers,0.0,nan,0.0,nan,6.0,0.0,Don't Know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,0,Yes,Not applicable to me,Sometimes,nan,5,Maybe,It depend on if the discussion would have an impact on my employment,Maybe,Same reason. But I believe this would have a greater impact in employment,0,nan,nan,5,Maybe/Not sure,nan,"Yes, I experienced",nan,2,nan,nan,0,45,Male,United States of America,Connecticut,White,nan,United States of America,Connecticut,2020,,,,
zhdmhaa8r0125c4zmoi7qzhdmtjrakhm,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,"Yes, I know several","Yes, always",Positively,"Yes, always",Positively,Yes,1-25%,1,1.0,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always",Physical health,"Yes, all of my previous supervisors",1.0,nan,"Yes, at all of my previous employers",1.0,nan,1.0,nan,10.0,10.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,1,Yes,Never,Never,Yes,10,Yes,nan,Yes,nan,1,1.0,10.0,10,"Yes, I observed",nan,"Yes, I observed",nan,5,nan,nan,1,24,female,Russia,nan,nan,nan,Russia,nan,2020,,,,
x4itwa9hnlw7qke4y5xibx4itwa9yzl5,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,"No, I don't know any","No, because it would impact me negatively",Negatively,"No, because it would impact me negatively",Negatively,Yes,76-100%,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,Yes,Often,Often,No,5,Maybe,It affects my employment or job,No,It affects my job,0,nan,nan,0,"Yes, I experienced","Some times with my boss, he will response properly it affects work and my  mental state.","Yes, I experienced",nan,1,They should understand and we should talk openely,mental health should be a law by government.,1,46,Male,India,nan,nan,nan,India,nan,2020,,,,
x3v3oimu5pn0043n8x3v3oizaybhwwto,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,"No, I don't know any","No, because it doesn't matter",Negatively,"No, because it would impact me negatively",Negatively,Yes,1-25%,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,Yes,Often,Sometimes,Yes,1,Yes,nan,No,nan,0,nan,nan,6,No,nan,Maybe/Not sure,nan,1,nan,nan,1,25,Female,Canada,nan,nan,nan,Canada,nan,2020,,,,
uyp6re7bhnyx6gez09uyp6re72z0e4e4,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,"Yes, I know several","No, because it would impact me negatively",Negatively,"Yes, always",I'm not sure,Yes,26-50%,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,I don't know,Rarely,Often,Yes,5,Yes,it will affect another person,No,it will affect my personality to the other person,0,nan,nan,3,"Yes, I observed",taking less to that person or ignorance,Maybe/Not sure,nan,3,behaving well with them and give them a good time for there task to complete. give them time to complete the task.,no,1,25,F,Canada,nan,nan,nan,Canada,nan,2020,,,,
u0nbmruq4qexmkk8zvqsu0nbmrh6he0e,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,"No, I don't know any",Not applicable to me,I'm not sure,"No, because it doesn't matter",No change,Unsure,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,1,No,Rarely,Rarely,Maybe,1,Maybe,gryry,Maybe,ytuu,1,1.0,1.0,1,"Yes, I experienced",thyu,Maybe/Not sure,nan,1,thyt,ryry,1,5,f,United States of America,Alabama,Asian,nan,United States of America,Alabama,2020,,,,
t4ck9zq73fzi90rtcfgzu0ot4ck9zzub,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,"Yes, I know several","Yes, always",Positively,"Yes, always",Positively,Yes,1-25%,1,1.0,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always",Physical health,"Yes, all of my previous supervisors",1.0,nan,"Yes, at all of my previous employers",1.0,nan,1.0,nan,0.0,0.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)","Psychotic Disorder (Schizophrenia, Schizoaffective, etc)","Eating Disorder (Anorexia, Bulimia, etc)",Attention Deficit Hyperactivity Disorder,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Obsessive-Compulsive Disorder,Post-traumatic Stress Disorder,Stress Response Syndromes,Dissociative Disorder,Substance Use Disorder,Addictive Disorder,nan,Yes,1,Yes,Never,Never,Yes,0,Yes,nan,Yes,nan,1,1.0,0.0,0,"Yes, I observed",nan,"Yes, I observed",nan,1,nan,nan,1,1,nan,Japan,nan,nan,nan,Afghanistan,nan,2020,,,,
sics80avlof5gljw4fqrl7sics805x6i,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,"Yes, I know several","No, because it would impact me negatively",nan,"No, because it would impact me negatively",Not applicable to me,Yes,51-75%,1,1.0,"Yes, they all did",I was aware of some,None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,0.0,nan,At some of my previous employers,1.0,Mostly they have been supportive. I've also discussed other's mental health issues and have tried to be supportive as I can be.,1.0,I had an individual that worked with me who confided that he was struggling with his medication and mental health I tried to be supportive and encouraged him to take the time he needed. While on vacation he was let go without my approval (normally I would have had to approve this) which was very difficult for me and the coworker.,5.0,1.0,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,Attention Deficit Hyperactivity Disorder,nan,Obsessive-Compulsive Disorder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,1,Yes,Sometimes,Often,Yes,9,Yes,Physical disabilities are understood well and protected.,No,While legally mental issues are protected I would be much more concerned about not getting a job because of a disclosure of mental illness. It's very hard to prove discrimination.,0,nan,nan,5,"Yes, I observed",My friend who was fired because of a mental health induced outburst.,Maybe/Not sure,nan,2,"Mental health counseling should be provided as a default part of all employment, not just provided as an option.",nan,1,35,Male,United States of America,Minnesota,White,nan,United States of America,Minnesota,2020,,,,
rd0ztpn1g47k7bhehrd0ztt4hk3qv0kp,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,"No, I don't know any","No, because it doesn't matter",Negatively,"No, because it would impact me negatively",Not applicable to me,Yes,76-100%,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Often,Sometimes,Maybe,6,Maybe,for taking leave,No,will impact my impression,0,nan,nan,3,Maybe/Not sure,nan,No,nan,4,"need to consider individual circumstances like age , family structure when pressurizing for deadlines.","family background, and personal responsibilites",0,34,female,Ireland,nan,nan,nan,Ireland,nan,2020,,,,
qxhj26vbyd7zlgbi1xqxhj26nalmk3sa,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,I know some,"No, because it doesn't matter",nan,"No, because it doesn't matter",I'm not sure,Yes,76-100%,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Rarely,Often,No,8,No,nan,No,Because I do not want the other side to get wrong thoughts. I do not think that people with mental health disorders are well cared for in the world.,1,1.0,6.0,6,No,nan,No,nan,2,The workload on the employees should not be too much. Daily working hours should not be fixed and flexible working hours should be applied. Mobbing should not be applied on employees. Social activities should be organized. Every employee manager should receive sincere well done.,nan,0,23,Female,Turkey,nan,nan,nan,Turkey,nan,2020,,,,
ovu3jddsnn98sy4ebvvn4qovu3jdd7uh,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,I know some,"No, because it doesn't matter",Negatively,"No, because it would impact me negatively",Negatively,Yes,1-25%,1,0.0,"No, none did",N/A (none offered),Some did,None did,No,Physical health,"No, none of my previous supervisors",1.0,I was very overwhelmed and my manager listened.,"No, at none of my previous employers",0.0,nan,1.0,Co-workers tend to overshare.,5.0,4.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,"Eating Disorder (Anorexia, Bulimia, etc)",Attention Deficit Hyperactivity Disorder,nan,Obsessive-Compulsive Disorder,Post-traumatic Stress Disorder,nan,nan,nan,nan,nan,Yes,1,Yes,Rarely,Often,No,3,Maybe,I don't want it to become my defining feature.,No,No. Stigma and will be seen as a problem employee.,0,nan,nan,3,Maybe/Not sure,nan,No,nan,3,openness,no,0,42,female,United States of America,South Dakota,White,nan,United States of America,South Dakota,2020,,,,
